space_type,area_sqm,length_m,width_m,sunlight_hours,shade_level,wind_exposure,water_access,drainage_quality,avg_day_temp_c,peak_surface_temp_c,humidity_pct,rainfall_level,heat_island_score,maintenance_level,budget_level,preferred_style,edible_preference,flowering_preference,pet_safe_required,irrigation_allowed,data_source,species_aloe_vera,species_basil_sweet,species_bougainvillea,species_cherry_tomato,species_chilli,species_coriander,species_curry_leaf,species_geranium_pelargonium,species_hibiscus,species_jade_plant,species_lemongrass,species_malabar_spinach,species_marigold,species_mint,species_plumeria,species_portulaca,species_pothos,species_prickly_pear,species_sedum,species_snake_plant,species_spider_plant,species_tulsi_holy,species_vinca,species_zinnia
TERRACE_outdoor,7.0,2.94,2.38,10.4,LOW,0.718,RAIN_ONLY,OK,37.4,44.3,36,DRY,0.56,2,2,food_garden,1,0,1,0,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
ROOFTOP_outdoor,3.65,1.73,2.11,9.9,LOW,0.656,SPOUT_NEAR,OK,35.9,47.5,33,HEAVY,0.833,0,2,food_garden,1,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
ROOFTOP_outdoor,1.65,1.51,1.09,5.8,LOW,0.262,CARRY_BUCKETS,OK,40.1,47.0,57,MODERATE,0.604,1,1,mixed_edible_ornamental,1,0,0,0,synthetic_bootstrap_v1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
ROOFTOP_outdoor,2.62,1.74,1.51,5.0,MEDIUM,0.785,CARRY_BUCKETS,OK,34.1,44.5,81,HEAVY,0.472,0,3,cooling_green,1,1,0,1,synthetic_bootstrap_v1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ROOFTOP_outdoor,6.77,2.88,2.35,6.2,LOW,0.512,SPOUT_NEAR,POOR,28.5,41.7,72,MODERATE,0.785,3,0,food_garden,1,0,1,1,synthetic_bootstrap_v1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
ROOFTOP_outdoor,5.13,2.39,2.15,7.5,LOW,0.111,SPOUT_NEAR,POOR,36.9,48.7,36,DRY,0.472,1,1,ornamental_color,1,1,0,0,synthetic_bootstrap_v1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1
ROOFTOP_outdoor,3.33,2.27,1.47,5.1,MEDIUM,0.826,CARRY_BUCKETS,GOOD,34.1,48.0,48,DRY,0.952,1,2,mixed_edible_ornamental,0,0,0,0,synthetic_bootstrap_v1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BALCONY_indoor,4.31,2.34,1.84,4.3,MEDIUM,0.232,SPOUT_NEAR,OK,32.7,39.2,56,MODERATE,0.634,0,3,cooling_green,0,0,0,1,synthetic_bootstrap_v1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
TERRACE_outdoor,1.5,1.48,1.01,7.4,LOW,0.885,CARRY_BUCKETS,GOOD,40.0,47.2,46,MODERATE,0.434,2,1,cooling_green,0,0,0,0,synthetic_bootstrap_v1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
BALCONY_outdoor,7.74,2.48,3.12,8.4,LOW,0.552,HOSE_ON_DECK,OK,39.9,49.3,55,DRY,0.853,0,2,food_garden,1,1,1,0,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1
ROOFTOP_outdoor,9.47,3.29,2.88,8.2,MEDIUM,0.29,HOSE_ON_DECK,POOR,36.9,55.8,57,MODERATE,0.807,3,0,ornamental_color,0,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
ROOFTOP_outdoor,10.65,3.42,3.11,6.5,LOW,0.932,CARRY_BUCKETS,OK,39.9,47.5,41,HEAVY,0.431,2,0,ornamental_color,0,1,0,0,synthetic_bootstrap_v1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
BALCONY_outdoor,6.25,2.13,2.93,3.7,MEDIUM,0.493,RAIN_ONLY,OK,39.5,57.5,77,DRY,0.465,1,0,ornamental_color,0,1,0,1,synthetic_bootstrap_v1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
ROOFTOP_outdoor,6.67,2.86,2.33,5.6,LOW,0.546,SPOUT_NEAR,GOOD,33.8,51.1,83,MODERATE,0.535,1,1,minimal_low_care,1,1,0,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
TERRACE_outdoor,2.94,1.87,1.57,8.4,LOW,0.704,CARRY_BUCKETS,OK,39.1,56.4,53,DRY,0.589,3,1,ornamental_color,1,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1
ROOFTOP_outdoor,3.66,2.13,1.72,9.8,LOW,0.272,HOSE_ON_DECK,GOOD,40.2,56.3,48,DRY,0.497,2,2,minimal_low_care,1,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1
BALCONY_outdoor,3.72,2.32,1.6,5.5,LOW,0.46,CARRY_BUCKETS,POOR,28.3,45.0,43,MODERATE,0.761,3,1,food_garden,1,1,0,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
TERRACE_outdoor,4.18,1.77,2.36,8.4,LOW,0.561,SPOUT_NEAR,OK,30.9,46.8,41,DRY,0.725,1,2,food_garden,1,1,0,0,synthetic_bootstrap_v1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
ROOFTOP_outdoor,2.57,1.92,1.34,5.3,LOW,0.296,CARRY_BUCKETS,OK,31.5,40.9,42,MODERATE,0.417,2,2,food_garden,1,1,0,0,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
ROOFTOP_outdoor,2.33,1.59,1.47,5.1,MEDIUM,0.905,SPOUT_NEAR,OK,39.0,51.5,55,MODERATE,0.381,3,3,ornamental_color,1,1,0,1,synthetic_bootstrap_v1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
BALCONY_indoor,5.51,2.67,2.06,3.0,HIGH,0.116,SPOUT_NEAR,OK,39.4,46.7,53,DRY,0.591,1,3,food_garden,1,1,0,1,synthetic_bootstrap_v1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TERRACE_outdoor,3.89,2.08,1.87,10.8,MEDIUM,0.173,SPOUT_NEAR,GOOD,33.1,52.4,49,MODERATE,0.877,0,1,mixed_edible_ornamental,0,1,0,0,synthetic_bootstrap_v1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
TERRACE_outdoor,2.02,1.72,1.17,8.9,LOW,0.108,RAIN_ONLY,POOR,36.7,44.8,35,MODERATE,0.637,1,2,cooling_green,0,0,0,1,synthetic_bootstrap_v1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
BALCONY_outdoor,1.5,1.43,1.05,7.9,LOW,0.131,CARRY_BUCKETS,OK,30.6,43.1,71,MODERATE,0.372,3,0,minimal_low_care,1,0,0,1,synthetic_bootstrap_v1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ROOFTOP_outdoor,3.3,1.65,2.0,10.7,LOW,0.088,CARRY_BUCKETS,OK,31.5,40.3,42,MODERATE,0.373,1,1,cooling_green,1,1,0,0,synthetic_bootstrap_v1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ROOFTOP_outdoor,6.25,2.52,2.48,10.8,MEDIUM,0.122,HOSE_ON_DECK,GOOD,30.8,48.3,45,DRY,0.351,0,2,cooling_green,0,0,1,0,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
ROOFTOP_outdoor,2.95,1.71,1.73,6.1,LOW,0.215,CARRY_BUCKETS,POOR,40.5,56.2,68,DRY,0.396,0,3,minimal_low_care,1,0,0,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
TERRACE_outdoor,8.12,2.94,2.76,9.5,MEDIUM,0.095,SPOUT_NEAR,POOR,39.2,45.7,43,MODERATE,0.698,2,1,ornamental_color,0,1,0,1,synthetic_bootstrap_v1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
ROOFTOP_indoor,24.44,6.04,4.05,2.8,HIGH,0.853,CARRY_BUCKETS,OK,32.5,39.8,47,HEAVY,0.554,0,1,mixed_edible_ornamental,1,1,0,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
BALCONY_indoor,3.54,1.69,2.09,4.3,LOW,0.841,CARRY_BUCKETS,OK,36.5,45.8,55,HEAVY,0.766,2,2,mixed_edible_ornamental,1,1,0,1,synthetic_bootstrap_v1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
ROOFTOP_outdoor,3.45,1.91,1.81,6.4,LOW,0.531,HOSE_ON_DECK,GOOD,29.5,40.7,87,MODERATE,0.581,1,2,mixed_edible_ornamental,1,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
TERRACE_outdoor,5.2,2.84,1.83,7.8,LOW,0.166,CARRY_BUCKETS,OK,29.8,39.5,53,MODERATE,0.505,3,2,ornamental_color,1,1,0,1,synthetic_bootstrap_v1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
BALCONY_outdoor,3.95,2.14,1.85,6.2,LOW,0.439,CARRY_BUCKETS,OK,39.2,48.4,81,DRY,0.475,3,0,cooling_green,0,1,1,0,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
ROOFTOP_outdoor,7.71,2.83,2.72,8.8,LOW,0.626,SPOUT_NEAR,POOR,33.7,49.4,34,MODERATE,0.409,0,1,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ROOFTOP_outdoor,4.35,2.57,1.69,11.5,LOW,0.718,SPOUT_NEAR,GOOD,37.9,47.8,47,MODERATE,0.481,2,0,ornamental_color,1,1,0,0,synthetic_bootstrap_v1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
BALCONY_outdoor,4.65,2.45,1.9,6.1,MEDIUM,0.106,CARRY_BUCKETS,POOR,32.0,40.3,47,MODERATE,0.867,2,2,mixed_edible_ornamental,0,0,0,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
TERRACE_outdoor,7.21,3.13,2.3,10.9,LOW,0.656,SPOUT_NEAR,OK,34.3,46.8,34,MODERATE,0.38,3,1,cooling_green,1,0,0,1,synthetic_bootstrap_v1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BALCONY_outdoor,6.9,2.79,2.47,8.6,LOW,0.64,RAIN_ONLY,GOOD,37.2,46.9,73,HEAVY,0.937,1,1,mixed_edible_ornamental,1,1,0,1,synthetic_bootstrap_v1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
BALCONY_outdoor,3.17,1.71,1.85,4.8,LOW,0.716,SPOUT_NEAR,OK,38.2,51.3,83,MODERATE,0.821,1,2,cooling_green,1,0,0,0,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
TERRACE_outdoor,16.72,5.04,3.32,7.1,LOW,0.482,RAIN_ONLY,GOOD,34.3,50.9,50,MODERATE,0.587,1,1,cooling_green,0,0,1,1,synthetic_bootstrap_v1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
ROOFTOP_outdoor,4.54,2.06,2.2,5.8,MEDIUM,0.738,CARRY_BUCKETS,OK,33.0,45.7,79,DRY,0.708,1,1,mixed_edible_ornamental,0,0,0,1,synthetic_bootstrap_v1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
BALCONY_indoor,1.97,1.37,1.44,1.9,MEDIUM,0.791,CARRY_BUCKETS,GOOD,30.2,39.3,82,DRY,0.567,1,1,cooling_green,1,0,0,1,synthetic_bootstrap_v1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
TERRACE_outdoor,2.3,1.86,1.24,5.4,LOW,0.578,CARRY_BUCKETS,GOOD,31.2,48.5,55,MODERATE,0.715,3,1,cooling_green,0,0,0,0,synthetic_bootstrap_v1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ROOFTOP_outdoor,6.87,2.82,2.44,10.1,LOW,0.637,RAIN_ONLY,GOOD,35.8,42.1,63,DRY,0.445,1,1,mixed_edible_ornamental,0,1,1,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
TERRACE_outdoor,5.66,2.28,2.48,7.3,LOW,0.093,CARRY_BUCKETS,OK,32.7,44.4,36,MODERATE,0.856,1,1,cooling_green,0,1,1,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
ROOFTOP_outdoor,6.77,3.22,2.1,9.3,MEDIUM,0.335,CARRY_BUCKETS,GOOD,28.8,42.2,66,DRY,0.52,2,3,ornamental_color,1,0,0,1,synthetic_bootstrap_v1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
BALCONY_indoor,2.16,1.3,1.66,4.2,MEDIUM,0.429,HOSE_ON_DECK,POOR,32.5,51.5,43,HEAVY,0.909,1,3,ornamental_color,1,1,0,1,synthetic_bootstrap_v1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
BALCONY_indoor,4.0,2.43,1.65,4.5,LOW,0.8,HOSE_ON_DECK,OK,36.0,54.3,82,HEAVY,0.709,0,1,cooling_green,0,1,0,0,synthetic_bootstrap_v1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
BALCONY_outdoor,1.5,1.12,1.34,5.3,MEDIUM,0.398,SPOUT_NEAR,GOOD,36.4,43.6,54,DRY,0.883,2,2,ornamental_color,1,1,0,0,synthetic_bootstrap_v1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
ROOFTOP_outdoor,5.32,2.85,1.87,7.3,LOW,0.553,CARRY_BUCKETS,OK,36.2,43.5,84,DRY,0.494,1,1,cooling_green,0,1,0,1,synthetic_bootstrap_v1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
ROOFTOP_outdoor,1.5,1.46,1.03,9.4,LOW,0.799,SPOUT_NEAR,GOOD,34.5,46.9,54,DRY,0.436,2,1,food_garden,0,0,0,0,synthetic_bootstrap_v1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
BALCONY_outdoor,6.48,3.13,2.07,5.2,MEDIUM,0.275,CARRY_BUCKETS,OK,32.0,44.8,70,DRY,0.853,0,2,food_garden,1,0,0,0,synthetic_bootstrap_v1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
BALCONY_outdoor,3.03,2.17,1.4,4.1,LOW,0.086,CARRY_BUCKETS,GOOD,35.0,49.5,79,MODERATE,0.812,1,1,cooling_green,0,0,0,0,synthetic_bootstrap_v1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
BALCONY_indoor,3.55,1.7,2.09,5.1,MEDIUM,0.643,CARRY_BUCKETS,POOR,28.5,45.7,53,HEAVY,0.49,1,3,food_garden,0,0,0,0,synthetic_bootstrap_v1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BALCONY_outdoor,2.16,1.73,1.25,8.9,LOW,0.608,CARRY_BUCKETS,OK,29.3,37.2,79,HEAVY,0.427,3,2,cooling_green,0,1,0,0,synthetic_bootstrap_v1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
ROOFTOP_outdoor,17.24,5.12,3.37,5.3,MEDIUM,0.269,CARRY_BUCKETS,GOOD,33.7,42.7,57,DRY,0.787,2,2,food_garden,0,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1
BALCONY_indoor,6.49,3.13,2.07,2.4,HIGH,0.711,CARRY_BUCKETS,POOR,31.2,48.6,75,DRY,0.723,0,1,mixed_edible_ornamental,0,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ROOFTOP_outdoor,3.75,2.18,1.72,9.9,LOW,0.708,SPOUT_NEAR,GOOD,38.8,50.9,70,MODERATE,0.773,3,2,ornamental_color,1,0,0,0,synthetic_bootstrap_v1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
BALCONY_outdoor,4.0,1.79,2.23,8.5,LOW,0.884,SPOUT_NEAR,POOR,37.1,44.7,41,MODERATE,0.879,3,1,mixed_edible_ornamental,1,1,0,1,synthetic_bootstrap_v1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
TERRACE_outdoor,5.7,2.85,2.0,7.6,LOW,0.796,CARRY_BUCKETS,GOOD,29.7,44.0,53,DRY,0.36,0,2,minimal_low_care,1,1,0,0,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
ROOFTOP_outdoor,3.19,1.58,2.02,9.0,LOW,0.902,SPOUT_NEAR,GOOD,33.2,41.0,80,MODERATE,0.674,0,1,minimal_low_care,1,0,0,1,synthetic_bootstrap_v1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
ROOFTOP_outdoor,6.27,2.36,2.66,10.2,LOW,0.091,SPOUT_NEAR,POOR,39.8,52.6,56,DRY,0.376,0,2,ornamental_color,1,1,0,1,synthetic_bootstrap_v1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
BALCONY_outdoor,3.68,1.9,1.94,8.3,LOW,0.311,HOSE_ON_DECK,OK,29.7,47.7,33,DRY,0.385,1,0,minimal_low_care,0,1,1,1,synthetic_bootstrap_v1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
BALCONY_outdoor,6.21,2.32,2.68,8.9,LOW,0.437,CARRY_BUCKETS,POOR,38.2,49.6,63,MODERATE,0.528,1,0,food_garden,1,1,0,1,synthetic_bootstrap_v1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
TERRACE_outdoor,5.21,2.4,2.17,9.6,MEDIUM,0.099,RAIN_ONLY,POOR,39.3,57.9,37,MODERATE,0.621,2,2,cooling_green,1,0,1,0,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
TERRACE_outdoor,4.5,2.35,1.91,5.6,MEDIUM,0.602,HOSE_ON_DECK,GOOD,39.1,54.5,65,DRY,0.833,1,3,food_garden,0,1,0,1,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
ROOFTOP_outdoor,4.55,2.2,2.07,6.7,LOW,0.934,SPOUT_NEAR,OK,28.1,42.0,38,DRY,0.437,1,2,mixed_edible_ornamental,1,0,1,1,synthetic_bootstrap_v1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
ROOFTOP_outdoor,2.51,1.93,1.3,8.1,LOW,0.393,SPOUT_NEAR,GOOD,33.0,49.9,71,MODERATE,0.905,3,2,ornamental_color,1,0,0,1,synthetic_bootstrap_v1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
TERRACE_outdoor,4.98,2.12,2.35,9.0,MEDIUM,0.352,RAIN_ONLY,GOOD,35.7,47.9,84,MODERATE,0.583,3,0,ornamental_color,1,1,0,1,synthetic_bootstrap_v1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
TERRACE_outdoor,2.41,1.55,1.55,8.8,LOW,0.513,SPOUT_NEAR,GOOD,37.8,54.2,63,HEAVY,0.615,0,2,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
ROOFTOP_outdoor,1.5,1.28,1.17,10.0,LOW,0.149,CARRY_BUCKETS,GOOD,29.7,40.1,36,DRY,0.367,1,3,food_garden,0,0,0,1,synthetic_bootstrap_v1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TERRACE_outdoor,6.97,2.48,2.81,6.5,LOW,0.927,SPOUT_NEAR,OK,32.8,49.3,35,MODERATE,0.688,2,1,food_garden,1,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
TERRACE_outdoor,5.9,2.35,2.51,10.0,LOW,0.41,CARRY_BUCKETS,OK,34.1,40.5,81,MODERATE,0.689,0,0,ornamental_color,0,0,1,0,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
TERRACE_outdoor,2.87,1.89,1.52,5.4,MEDIUM,0.679,SPOUT_NEAR,GOOD,28.7,42.1,78,DRY,0.886,1,2,ornamental_color,0,1,0,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
ROOFTOP_outdoor,6.01,2.24,2.68,6.7,MEDIUM,0.515,SPOUT_NEAR,POOR,29.3,49.0,87,MODERATE,0.752,1,2,minimal_low_care,0,0,0,1,synthetic_bootstrap_v1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ROOFTOP_outdoor,6.02,2.86,2.1,11.1,LOW,0.436,SPOUT_NEAR,OK,37.6,51.3,40,MODERATE,0.542,3,1,cooling_green,1,1,0,0,synthetic_bootstrap_v1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
TERRACE_outdoor,7.55,3.02,2.5,10.3,LOW,0.256,HOSE_ON_DECK,POOR,32.6,46.5,43,MODERATE,0.606,2,1,mixed_edible_ornamental,0,1,0,1,synthetic_bootstrap_v1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
ROOFTOP_outdoor,4.25,2.53,1.68,11.4,LOW,0.353,RAIN_ONLY,GOOD,29.7,36.7,58,MODERATE,0.555,3,1,ornamental_color,0,0,1,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TERRACE_outdoor,1.63,1.34,1.22,10.4,LOW,0.58,HOSE_ON_DECK,POOR,29.6,47.8,60,MODERATE,0.35,3,0,cooling_green,1,0,0,1,synthetic_bootstrap_v1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
ROOFTOP_outdoor,5.04,2.76,1.83,7.3,LOW,0.175,HOSE_ON_DECK,GOOD,40.2,54.7,79,MODERATE,0.89,2,0,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
BALCONY_outdoor,7.84,2.54,3.09,5.5,LOW,0.142,SPOUT_NEAR,OK,38.1,45.3,82,HEAVY,0.792,1,0,ornamental_color,0,1,0,1,synthetic_bootstrap_v1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
BALCONY_outdoor,3.11,1.64,1.9,5.1,MEDIUM,0.173,SPOUT_NEAR,POOR,35.4,49.0,51,HEAVY,0.817,1,2,mixed_edible_ornamental,0,0,0,1,synthetic_bootstrap_v1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
BALCONY_outdoor,10.48,2.82,3.72,8.4,LOW,0.774,SPOUT_NEAR,POOR,38.8,57.8,83,DRY,0.562,2,2,ornamental_color,0,1,0,1,synthetic_bootstrap_v1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
BALCONY_outdoor,1.63,1.53,1.07,3.6,LOW,0.677,CARRY_BUCKETS,POOR,34.8,45.6,74,DRY,0.905,1,0,ornamental_color,1,1,0,0,synthetic_bootstrap_v1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1
ROOFTOP_outdoor,2.7,1.75,1.54,7.5,LOW,0.767,SPOUT_NEAR,GOOD,30.3,49.6,71,DRY,0.441,1,3,food_garden,1,1,1,0,synthetic_bootstrap_v1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
TERRACE_outdoor,3.61,1.65,2.19,8.9,LOW,0.203,RAIN_ONLY,OK,36.4,54.8,77,DRY,0.89,1,2,food_garden,1,1,1,1,synthetic_bootstrap_v1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
BALCONY_outdoor,3.58,1.68,2.13,7.1,MEDIUM,0.545,CARRY_BUCKETS,GOOD,28.6,48.5,51,DRY,0.494,2,2,food_garden,1,1,0,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0
ROOFTOP_outdoor,5.29,2.08,2.54,6.4,LOW,0.705,CARRY_BUCKETS,GOOD,38.6,46.4,81,MODERATE,0.499,0,2,food_garden,1,1,1,1,synthetic_bootstrap_v1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
BALCONY_indoor,4.26,2.27,1.88,1.6,HIGH,0.092,SPOUT_NEAR,GOOD,29.0,47.2,85,DRY,0.606,0,1,mixed_edible_ornamental,0,1,0,1,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
