code,display_name,scientific_name,family,genus,kingdom,category,growth_habit,cycle,native_range_notes,invasive_risk,hardiness_zone_min,hardiness_zone_max,max_height_cm,edible,flowering,pet_safe,drought_tolerant,heat_tolerant,low_maintenance,min_sun_hours,max_sun_hours,drought_tolerance,climate_suitability,sunlight_preference,water_demand,maintenance_need,root_aggressiveness,pollinator_value,child_pet_safety,native_support,container_suitability,cooling_contribution,privacy_contribution,tags_json,notes,image_url,image_thumbnail,image_license,image_source,image_local_path,ml_weight,active,source_perenual,source_gbif,source_wikipedia,source_seed,confidence
caladium,Caladium,Caladium bicolor,Araceae,Caladium,Plantae,FOLIAGE,FOLIAGE,Perennial,Species of flowering plant,LOW,,,,false,false,false,false,false,false,1,4,MED,TROPICAL|HOT_HUMID,PART,MED,MED,HIGH,0,UNSAFE,LOW,GOOD,2.4,1.6,"[""shade_only"",""seasonal""]",Show-stopping shade foliage; goes dormant in heat/dry — store tubers; not for water-scarce setups.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Caladium_bicolor_2.jpg/330px-Caladium_bicolor_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Caladium_bicolor_2.jpg/330px-Caladium_bicolor_2.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
brahmi,Brahmi (Bacopa),Bacopa monnieri,Plantaginaceae,Bacopa,Plantae,HERB,HERB,Perennial,Species of aquatic plant,LOW,,,,true,true,true,false,true,true,3,7,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,1.3,0.8,"[""medicinal"",""shallow_tray""]",Ayurvedic herb; grows in shallow trays with consistent moisture; spreading ground cover.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Starr_010818-0007_Bacopa_monnieri.jpg/330px-Starr_010818-0007_Bacopa_monnieri.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Starr_010818-0007_Bacopa_monnieri.jpg/330px-Starr_010818-0007_Bacopa_monnieri.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
fenugreek,Methi / Fenugreek,Trigonella foenum-graecum,Fabaceae,Trigonella,Plantae,HERB,HERB,Perennial,Species of flowering plant,LOW,,,,true,true,true,false,false,true,3,6,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY|HOT_DRY|MEDITERRANEAN,PART,MED,MED,LOW,1.5,SAFE,LOW,GOOD,1.3,0.8,"[""quick_crop"",""kitchen_garden""]",Cool-season crop; bolt in peak summer; rapid 4-week harvest cycle for leaves.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Illustration_Trigonella_foenum-graecum0_clean.jpg/330px-Illustration_Trigonella_foenum-graecum0_clean.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Illustration_Trigonella_foenum-graecum0_clean.jpg/330px-Illustration_Trigonella_foenum-graecum0_clean.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
bitter_gourd,Bitter gourd (Karela),Momordica charantia,Cucurbitaceae,Momordica,Plantae,VEGETABLE,VEGETABLE,Perennial,Species of plant in the gourd family,LOW,,,,true,true,true,false,true,false,6,10,MED,TROPICAL|HOT_HUMID|SUBTROPICAL,PART,MED,MED,LOW,0,SAFE,LOW,GOOD,1.5,0.8,"[""vine"",""kitchen_garden"",""monsoon_ok""]",Productive vine for trellis; peak performance in Indian summer heat; harvest young.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Momordica_charantia_Blanco2.357.png/330px-Momordica_charantia_Blanco2.357.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Momordica_charantia_Blanco2.357.png/330px-Momordica_charantia_Blanco2.357.png,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
morning_glory,Morning glory,Ipomoea purpurea,Convolvulaceae,Ipomoea,Plantae,CLIMBER,CLIMBER,Perennial,Species of plant,LOW,,,,false,true,false,true,true,true,6,12,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,HIGH,GOOD,3,2.8,"[""annual"",""trellis"",""color""]",Fast annual climber; large trumpet flowers; self-seeds; very easy from seed on trellis.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Ipomoea_purpurea%2C_2021-08-31%2C_Beechview%2C_05.jpg/330px-Ipomoea_purpurea%2C_2021-08-31%2C_Beechview%2C_05.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Ipomoea_purpurea%2C_2021-08-31%2C_Beechview%2C_05.jpg/330px-Ipomoea_purpurea%2C_2021-08-31%2C_Beechview%2C_05.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
chrysanthemum,Chrysanthemum (Guldaudi),Chrysanthemum morifolium,Asteraceae,Chrysanthemum,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,Species of plant,LOW,,,,false,true,false,false,false,false,5,8,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,LOW,GOOD,1.5,0.8,"[""seasonal"",""festive""]",October–December bloomer for Indian rooftops; needs cool nights to flower; pinch in summer.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Chrysanthemum.JPG/330px-Chrysanthemum.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Chrysanthemum.JPG/330px-Chrysanthemum.JPG,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
crossandra,Crossandra (Aboli),Crossandra infundibuliformis,Acanthaceae,Crossandra,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,Species of flowering plant,LOW,,,,false,true,true,false,true,true,3,7,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,1.5,0.8,"[""shade_tolerant"",""container"",""color""]",Long-season orange bloomer; tolerates shade on hot Indian balconies; keep moist.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Crossandra_infundibuliformis_kanakambaram_Madhurawada_Visakhapatnam.JPG/330px-Crossandra_infundibuliformis_kanakambaram_Madhurawada_Visakhapatnam.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Crossandra_infundibuliformis_kanakambaram_Madhurawada_Visakhapatnam.JPG/330px-Crossandra_infundibuliformis_kanakambaram_Madhurawada_Visakhapatnam.JPG,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
duranta,Golden dewdrop (Duranta),Duranta erecta,Verbenaceae,Duranta,Plantae,SHRUB,SHRUB,Perennial,Species of flowering plant,LOW,,,,false,true,false,true,true,true,6,12,MED,TROPICAL|HOT_HUMID|SUBTROPICAL,PART,MED,MED,LOW,0,UNSAFE,LOW,GOOD,2,1.8,"[""hedge"",""pollinator"",""full_sun""]",Tough full-sun shrub for terrace hedges; berries toxic; blue flowers attract butterflies.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Duranta_erecta_serres_du_Luxembourg.jpg/330px-Duranta_erecta_serres_du_Luxembourg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Duranta_erecta_serres_du_Luxembourg.jpg/330px-Duranta_erecta_serres_du_Luxembourg.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
wandering_jew,Tradescantia (Wandering jew),Tradescantia zebrina,Commelinaceae,Tradescantia,Plantae,FOLIAGE,FOLIAGE,Perennial,Species of flowering plant in the family Commelinaceae,LOW,,,,false,true,false,true,true,true,2,7,MED,SUBTROPICAL,PART,MED,MED,LOW,1.5,UNSAFE,LOW,GOOD,2.4,1.6,"[""hanging"",""shade_tolerant"",""colorful""]",Trailing foliage for hanging baskets or balcony railings; silver-purple leaves; easy from cuttings.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Zebrina_pendula_20060521_2_closer.jpg/330px-Zebrina_pendula_20060521_2_closer.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Zebrina_pendula_20060521_2_closer.jpg/330px-Zebrina_pendula_20060521_2_closer.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
henna,Henna (Mehndi),Lawsonia inermis,Lythraceae,Lawsonia,Plantae,SHRUB,SHRUB,Perennial,Species of tree,LOW,,,,false,true,true,true,true,true,6,12,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,LOW,GOOD,2,1.8,"[""native_adapted"",""fragrant"",""hedge""]",Fragrant white flowers; dense hedge; very heat and drought resistant once established.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Lawsonia_inermis_%283709419835%29.jpg/330px-Lawsonia_inermis_%283709419835%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Lawsonia_inermis_%283709419835%29.jpg/330px-Lawsonia_inermis_%283709419835%29.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
lemongrass_dense,Dense lemongrass screen,Cymbopogon flexuosus,Poaceae,Cymbopogon,Plantae,GRASS,GRASS,Perennial,Species of grass,LOW,,,,true,false,true,true,true,true,6,12,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,2.5,2.5,"[""privacy_screen"",""cooling"",""wind_ok""]",East Indian variety; taller and denser than C. citratus; ideal windbreak and privacy screen.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Cymbopogon_flexuosus%2C_Phipps_Conservatory%2C_2015-10-10%2C_01.jpg/330px-Cymbopogon_flexuosus%2C_Phipps_Conservatory%2C_2015-10-10%2C_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Cymbopogon_flexuosus%2C_Phipps_Conservatory%2C_2015-10-10%2C_01.jpg/330px-Cymbopogon_flexuosus%2C_Phipps_Conservatory%2C_2015-10-10%2C_01.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
neem_dwarf,Dwarf neem,Azadirachta indica (dwarf cv.),,,Plantae,SHRUB,SHRUB,Perennial,,LOW,,,,false,true,true,true,true,true,6,12,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,LOW,GOOD,2,1.8,"[""native_adapted"",""pest_companion"",""full_sun""]",Natural pesticide effect; large container (50L+); keep pruned on rooftops.,,,CC,,,1,true,no,no,no,yes,0.1
impatiens,Impatiens (Touch-me-not),Impatiens walleriana,Balsaminaceae,Impatiens,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,Species of flowering plant,LOW,,,,false,true,true,false,false,true,1,4,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,1.5,0.8,"[""shade_only"",""color"",""annual""]",Best shade annual; keep evenly moist; avoid harsh afternoon sun on rooftops.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Impatienswalleriana.jpg/330px-Impatienswalleriana.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Impatienswalleriana.jpg/330px-Impatienswalleriana.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
