sample_id,project_type,city_tier,climate_zone,region,area_sqft,usable_area_pct,sunlight_hours,shade_level,floor_level,wind_exposure,load_capacity_level,railing_height_ft,waterproofing_status,drainage_quality,access_ease,surface_type,roof_material,ambient_heat_severity,avg_summer_temp_c,humidity_pct,rainfall_level,air_quality_level,dust_exposure,water_availability,irrigation_possible,orientation,surrounding_built_density,budget_inr,maintenance_preference,aesthetic_style,purpose_primary,child_pet_safe_required,edible_plants_preferred,flowering_preferred,privacy_required,seating_required,shade_required,biodiversity_priority,native_species_preference,recommendation_type,greenery_density,planter_type,irrigation_type,shade_solution,cooling_strategy,maintenance_level_pred,estimated_install_cost_inr,estimated_annual_maintenance_inr,expected_temp_reduction_c,expected_surface_temp_reduction_c,pollinator_support_score,privacy_score,feasibility_score,safety_score,species_primary,species_secondary,species_tertiary,species_mix_type,species_count_estimate,recommendation_acceptance_likelihood,long_term_success_likelihood,heat_mitigation_score,water_efficiency_score,overall_recommendation_score
SYN-000042-000046,balcony,tier_2,composite_monsoon,Kolkata,95.56,43.3,2.69,low,7,0.3754,low,4.09,poor,good,moderate,mixed,wood,moderate,35.37,68,heavy_monsoon,poor,medium,adequate,1,NW,medium,55872,high,tropical_lush,mixed,0,1,1,0,0,1,0,1,green_wall_lite,dense,metal_trough,drip_timer,companion_tall_plants,evapotranspiration_light,L3_intensive,64252.8,9196.48,7.103,8.621,0.3124,0.1,0.863,0.8544,Holy basil (tulsi),Impatiens,Coriander,duo_complement,2,0.5263,0.4792,0.7682,1.0,0.6909
SYN-000042-000047,balcony,tier_2,tropical_humid,Mumbai_MMR,152.72,86.8,6.35,medium,18,0.4625,low,3.03,fair,ok,moderate,soil_patch,rcc,high,35.18,50,dry,moderate,high,adequate,1,mixed,high,118329,low,tropical_lush,food,0,1,0,1,0,1,0,0,herb_focused,very_dense,fabric_grow_bag,manual_watering,companion_tall_plants,evapotranspiration_heavy,L2_moderate,136078.35,12640.19,9.821,11.811,0.2289,0.35,0.8699,0.7689,Holy basil (tulsi),Holy basil (tulsi),Holy basil (tulsi),single_species,1,0.6389,0.4664,1.0,0.8625,0.7278
SYN-000042-000048,rooftop,tier_2,tropical_humid,Hyderabad,397.75,91.9,8.26,none,10,0.8263,medium,4.42,good,good,moderate,concrete,rcc,moderate,33.45,64,dry,moderate,low,adequate,1,S,medium,73715,moderate,native_wild,cooling,0,0,1,1,0,1,1,1,raised_beds,moderate,metal_trough,manual_watering,companion_tall_plants,evapotranspiration_light,L2_moderate,84772.25,8721.49,5.389,8.573,0.6224,0.6,0.9875,0.887,Vetiver grass,Bougainvillea,Lemongrass screen,tri_layer_simple,3,0.5967,0.5709,0.5888,0.8625,0.6326
SYN-000042-000049,terrace,tier_2,tropical_humid,NCR,245.64,68.1,8.24,medium,11,0.4265,low,3.12,good,good,difficult,metal_deck,rcc,extreme,35.28,75,moderate,poor,medium,adequate,1,W,low,40636,low,native_wild,aesthetics,1,0,0,0,1,1,0,1,planters_only,moderate,terracotta,manual_watering,pergola_lite,evapotranspiration_light,L1_light,46731.4,2324.71,9.06,13.853,0.507,0.1,0.8971,0.8097,Okra,Marigold,Curry leaf screen,tri_layer_simple,3,0.5337,0.5521,1.0,0.8625,0.7572
SYN-000042-000050,balcony,tier_4,composite_monsoon,Other,114.0,73.6,3.97,none,5,0.7504,low,3.95,poor,good,easy,wood_deck,rcc,high,35.31,69,heavy_monsoon,moderate,medium,plentiful,1,mixed,medium,161042,low,kitchen_garden,mixed,0,0,0,0,0,0,1,1,planters_only,moderate,modular_rail_planters,subirrigation,companion_tall_plants,evapotranspiration_light,L0_minimal,171877.32,10337.22,6.82,9.74,0.5496,0.1,0.888,0.8302,Holy basil (tulsi),Malabar spinach,Jade plant,duo_complement,2,0.6707,0.7417,0.7697,0.945,0.8122
SYN-000042-000051,rooftop,tier_3,semi_arid,Ahmedabad,781.93,65.9,11.18,low,6,0.8762,high,3.47,fair,ok,moderate,concrete,rcc,moderate,37.52,71,moderate,moderate,high,plentiful,1,NE,high,200664,moderate,minimal_modern,food,1,1,0,0,0,1,0,1,mixed_canopy_lite,moderate,metal_trough,drip_smart,shade_net_50,evapotranspiration_light,L1_light,230763.6,27561.11,5.749,7.747,0.5637,0.35,1.0,0.9262,Okra,Lemongrass screen,Ridge gourd,polyculture_lite,4,0.6586,0.5645,0.6419,1.0,0.6983
SYN-000042-000052,balcony,tier_3,tropical_humid,Mumbai_MMR,130.24,76.7,6.62,low,19,0.3788,medium,4.0,fair,poor,moderate,wood_deck,rcc,moderate,32.48,60,dry,poor,medium,scarce,1,S,medium,128440,minimal,kitchen_garden,food,0,1,1,1,0,0,0,1,mixed_canopy_lite,moderate,fabric_grow_bag,manual_watering,umbrella_portable,evapotranspiration_light,L0_minimal,147706.0,12209.37,5.22,8.018,0.18,0.35,0.9717,0.9087,Prickly pear,Prickly pear,Prickly pear,single_species,1,0.6573,0.4755,0.57,0.505,0.5963
SYN-000042-000053,terrace,tier_4,tropical_humid,NCR,499.16,59.4,7.34,medium,1,0.7873,medium,3.55,poor,poor,difficult,concrete,tiles,high,33.88,59,moderate,poor,medium,scarce,0,E,low,112498,minimal,minimal_modern,low_maintenance_green,0,1,1,0,1,1,0,0,mixed_canopy_lite,dense,fabric_grow_bag,manual_watering,shade_net_75,evapotranspiration_heavy,L1_light,129372.7,11357.67,10.083,16.354,0.4621,0.1,0.8117,0.8556,Prickly pear,Holy basil (tulsi),Sedum mix,tri_layer_simple,3,0.5818,0.2984,1.0,0.45,0.6196
SYN-000042-000054,rooftop,tier_4,tropical_humid,Jaipur,921.3,69.0,9.05,none,4,0.5502,medium,3.24,fair,good,moderate,tiles,rcc,high,37.9,82,heavy_monsoon,good,low,adequate,1,S,high,66955,low,colorful_annuals,aesthetics,0,0,1,1,0,0,0,1,intensive_green_roof_lite,dense,wooden_box,drip_timer,shade_net_50,evapotranspiration_heavy,L2_moderate,76998.25,7173.85,10.291,17.494,0.4832,0.6,0.9789,0.8537,Vetiver grass,Bougainvillea,Lemongrass screen,tri_layer_simple,3,0.5519,0.5462,1.0,1.0,0.7812
SYN-000042-000055,balcony,tier_2,composite_monsoon,NCR,132.3,71.6,4.6,high,20,0.7814,high,3.4,fair,ok,easy,concrete,rcc,low,34.21,82,moderate,good,high,scarce,0,mixed,medium,10261,minimal,zen_sparse,mixed,1,0,0,0,0,0,0,1,succulent_forward,moderate,plastic_basic,rainfed_only,none,evapotranspiration_light,L0_minimal,12000.0,1223.09,4.531,5.548,0.1489,0.1,0.8773,0.8889,Holy basil (tulsi),Holy basil (tulsi),Holy basil (tulsi),single_species,1,0.5408,0.3843,0.4762,0.45,0.5059
SYN-000042-000056,terrace,tier_2,composite_monsoon,Indore,824.56,82.1,10.04,medium,12,0.5234,medium,3.7,good,ok,easy,wood_deck,rcc,low,33.46,87,moderate,poor,high,scarce,1,NE,medium,135912,minimal,mediterranean,privacy,1,0,0,1,0,1,0,0,planters_only,dense,plastic_basic,manual_watering,pergola_lite,evapotranspiration_light,L1_light,156298.8,8773.56,5.762,9.805,0.5049,0.6,0.9523,0.8955,Portulaca,Curry leaf screen,Lemongrass screen,polyculture_lite,4,0.6917,0.4493,0.5961,0.505,0.6543
SYN-000042-000057,rooftop,tier_1,composite_monsoon,Mumbai_MMR,2365.73,68.5,10.04,low,5,0.4334,high,3.15,good,ok,moderate,concrete,rcc,low,36.76,88,moderate,poor,high,limited,0,SW,medium,67434,minimal,native_wild,biodiversity,0,0,1,0,1,1,0,0,planters_only,moderate,plastic_basic,manual_watering,companion_tall_plants,evapotranspiration_light,L0_minimal,77549.1,4662.19,4.934,8.101,0.5222,0.1,0.9472,0.7623,Dwarf lantana,Adenium,Portulaca,polyculture_lite,4,0.5489,0.3806,0.5272,0.505,0.5385
SYN-000042-000058,rooftop,tier_2,semi_arid,NCR,3609.97,66.6,9.69,low,1,0.3229,low,3.5,good,good,easy,wood_deck,rcc,moderate,32.39,38,moderate,moderate,medium,plentiful,1,S,medium,83059,minimal,zen_sparse,food,0,1,1,1,0,0,0,0,mixed_canopy_lite,moderate,terracotta,manual_watering,none,reflective_mulch,L0_minimal,95517.85,6892.49,4.678,5.178,0.42,0.6,0.9464,0.8072,Zinnia,Lemongrass screen,Prickly pear,tri_layer_simple,3,0.6533,0.6735,0.5158,0.945,0.64
SYN-000042-000059,terrace,tier_2,semi_arid,Jaipur,459.16,89.2,7.79,medium,10,0.3635,low,4.15,poor,good,moderate,wood_deck,tiles,moderate,36.27,66,moderate,poor,medium,limited,0,S,very_high,78445,low,tropical_lush,aesthetics,0,0,1,0,0,1,0,0,planters_only,dense,fabric_grow_bag,manual_watering,pergola_lite,surface_shading,L2_moderate,90211.75,9720.01,7.605,10.361,0.3172,0.1,0.9067,0.9146,Sedum mix,Prickly pear,Prickly pear,duo_complement,2,0.4527,0.3905,0.8222,0.505,0.5336
SYN-000042-000060,rooftop,tier_2,tropical_dry,Ahmedabad,1012.73,88.2,6.71,low,1,0.3386,low,3.6,good,ok,easy,concrete,rcc,moderate,33.82,75,moderate,moderate,high,plentiful,0,S,medium,8000,low,native_wild,food,1,1,1,1,0,1,0,0,mixed_canopy_lite,moderate,fabric_grow_bag,rainfed_only,pergola_lite,reflective_mulch,L1_light,12000.0,865.41,5.097,9.486,0.5443,0.6,0.9405,0.9163,Ridge gourd,Curry leaf screen,Curry leaf,polyculture_lite,4,0.6092,0.49,0.5612,0.7525,0.6073
SYN-000042-000061,terrace,tier_2,tropical_humid,NCR,276.67,66.6,8.27,none,8,0.2866,low,3.66,poor,ok,easy,green_roof_mat,metal_sheet,high,33.53,63,moderate,poor,high,adequate,0,W,high,94255,low,zen_sparse,cooling,1,0,1,0,1,0,0,0,shade_first_greenery,dense,metal_trough,rainfed_only,none,combined_shade_et,L2_moderate,108393.25,16774.27,8.473,10.548,0.4603,0.1,0.9154,0.9841,Sedum mix,Portulaca,Holy basil (tulsi),tri_layer_simple,3,0.4209,0.2231,0.9276,0.67,0.5581
SYN-000042-000062,terrace,tier_3,tropical_humid,Hyderabad,349.76,69.7,5.67,medium,1,0.4746,low,3.69,fair,ok,difficult,mixed,rcc,low,34.08,77,moderate,moderate,high,plentiful,1,NW,medium,59758,low,minimal_modern,mixed,0,1,0,0,0,0,0,0,green_wall_lite,moderate,vertical_stack,drip_timer,none,evapotranspiration_light,L1_light,68721.7,6725.09,4.389,6.143,0.2682,0.1,0.813,0.8613,Holy basil (tulsi),Coriander,Coriander,duo_complement,2,0.7492,0.6918,0.4615,1.0,0.7184
SYN-000042-000063,terrace,tier_4,tropical_dry,Other,554.96,83.0,7.51,medium,3,0.2617,high,3.66,good,ok,moderate,tiles,rcc,moderate,33.65,56,moderate,good,low,limited,1,mixed,medium,173409,minimal,tropical_lush,aesthetics,0,1,0,0,0,0,0,0,succulent_forward,dense,plastic_basic,subirrigation,none,evapotranspiration_light,L0_minimal,199420.35,14759.44,7.243,10.3,0.3034,0.1,1.0,0.8369,Scented geranium,Sweet basil,Sweet basil,duo_complement,2,0.6771,0.6717,0.775,0.6975,0.745
SYN-000042-000064,terrace,tier_2,semi_arid,Mumbai_MMR,667.63,67.6,6.11,high,11,0.582,medium,4.14,poor,ok,easy,tiles,unknown,moderate,33.58,85,moderate,moderate,low,plentiful,1,SE,very_high,119816,low,native_wild,food,0,1,1,1,1,0,0,0,mixed_canopy_lite,sparse,fabric_grow_bag,manual_watering,umbrella_portable,reflective_mulch,L1_light,137788.4,8130.13,6.162,7.575,0.423,0.6,1.0,0.845,Curry leaf screen,Malabar spinach,Holy basil (tulsi),tri_layer_simple,3,0.6243,0.4886,0.6666,0.945,0.6518
SYN-000042-000065,rooftop,tier_1,composite_monsoon,Bangalore,1496.05,67.8,8.61,medium,15,0.4931,low,3.79,fair,ok,moderate,tiles,rcc,low,37.42,47,moderate,moderate,medium,plentiful,1,NW,high,182287,moderate,mediterranean,aesthetics,1,0,0,1,0,1,0,0,raised_beds,moderate,concrete_custom,drip_smart,shade_net_75,evapotranspiration_light,L1_light,209630.05,24315.2,4.649,7.526,0.4057,0.6,0.8493,0.9401,Ridge gourd,Curry leaf screen,Ixora,tri_layer_simple,3,0.6666,0.531,0.5015,1.0,0.6461
SYN-000042-000066,rooftop,tier_2,tropical_humid,Other,1363.26,63.2,8.47,none,1,0.6036,high,3.27,good,poor,moderate,concrete,unknown,high,37.33,71,dry,poor,high,plentiful,1,mixed,low,21907,minimal,colorful_annuals,mixed,1,1,1,1,0,1,0,0,planters_only,moderate,plastic_basic,manual_watering,companion_tall_plants,combined_shade_et,L0_minimal,25193.05,1538.52,8.032,13.933,0.4802,0.6,0.9808,0.9313,Lemongrass screen,Lemongrass,Curry leaf screen,tri_layer_simple,3,0.6802,0.5322,0.8994,0.945,0.7938
SYN-000042-000067,terrace,tier_2,tropical_humid,Pune,239.28,75.4,6.65,high,6,0.5012,medium,4.03,fair,ok,easy,mixed,unknown,moderate,36.52,60,heavy_monsoon,poor,medium,plentiful,1,mixed,high,127125,low,tropical_lush,cooling,0,1,1,1,0,1,0,1,succulent_forward,moderate,vertical_stack,drip_smart,shade_net_75,evapotranspiration_light,L0_minimal,146193.75,14556.04,5.785,10.889,0.4385,0.6,1.0,0.88,Curry leaf screen,Ridge gourd,Lemongrass screen,tri_layer_simple,3,0.6575,0.5988,0.6413,1.0,0.7071
SYN-000042-000068,terrace,tier_2,semi_arid,Mumbai_MMR,246.01,71.9,6.05,low,1,0.4044,high,3.42,poor,ok,moderate,metal_deck,rcc,low,36.91,64,dry,moderate,medium,adequate,1,mixed,medium,66770,minimal,zen_sparse,food,0,1,0,0,0,0,1,1,herb_focused,moderate,plastic_basic,drip_timer,none,reflective_mulch,L0_minimal,76785.5,3624.71,4.486,7.477,0.603,0.1,0.9952,0.8885,Holy basil (tulsi),Mint,Coriander,tri_layer_simple,3,0.6838,0.608,0.483,1.0,0.6805
SYN-000042-000069,terrace,tier_2,tropical_humid,Ahmedabad,317.11,63.0,6.01,none,5,0.7961,medium,4.06,unknown,good,easy,concrete,rcc,moderate,34.69,56,heavy_monsoon,moderate,medium,plentiful,1,S,very_high,70541,high,colorful_annuals,cooling,0,0,0,0,0,0,0,1,green_wall_lite,moderate,terracotta,drip_timer,none,evapotranspiration_light,L3_intensive,81122.15,7764.06,6.338,9.808,0.3089,0.1,1.0,0.8634,Holy basil (tulsi),Malabar spinach,Malabar spinach,duo_complement,2,0.527,0.5564,0.6889,1.0,0.6558
SYN-000042-000070,terrace,tier_2,composite_monsoon,Mumbai_MMR,622.33,73.5,5.26,none,14,0.7307,high,3.12,fair,ok,moderate,mixed,rcc,high,32.32,69,dry,moderate,medium,adequate,0,W,high,141539,low,tropical_lush,cooling,0,0,0,1,0,1,0,0,mixed_canopy_lite,very_dense,terracotta,manual_watering,pergola_lite,evapotranspiration_heavy,L2_moderate,162769.85,16770.24,8.351,15.51,0.5775,0.6,1.0,0.7594,Bougainvillea,Holy basil (tulsi),Snake plant,polyculture_lite,4,0.601,0.3895,0.9131,0.67,0.614
SYN-000042-000071,rooftop,tier_4,composite_monsoon,Mumbai_MMR,495.57,82.9,8.25,low,4,0.1852,medium,3.36,poor,good,easy,concrete,rcc,low,38.15,54,moderate,good,high,limited,1,E,medium,142499,low,native_wild,food,1,1,1,0,0,0,0,0,herb_focused,sparse,fabric_grow_bag,drip_smart,none,evapotranspiration_light,L0_minimal,163873.85,9064.94,5.209,6.409,0.4095,0.1,0.9832,0.9261,Scented geranium,Sweet basil,Marigold,tri_layer_simple,3,0.7525,0.6049,0.5606,0.8975,0.7113
SYN-000042-000072,terrace,tier_2,tropical_humid,Other,489.04,62.2,9.58,high,1,0.386,high,4.05,good,poor,moderate,concrete,rcc,moderate,36.09,33,dry,poor,high,adequate,1,mixed,medium,93708,low,tropical_lush,cooling,0,0,0,0,0,1,0,1,green_wall_lite,moderate,vertical_stack,manual_watering,shade_net_75,combined_shade_et,L1_light,107764.2,10777.94,5.361,8.326,0.3162,0.1,0.9816,0.8894,Sedum mix,Bottle gourd (compact),Bottle gourd (compact),duo_complement,2,0.5737,0.4417,0.597,0.8625,0.6246
SYN-000042-000073,rooftop,tier_1,tropical_dry,Other,1868.24,54.6,9.62,medium,7,0.543,high,3.83,good,good,moderate,tiles,rcc,moderate,32.95,77,heavy_monsoon,good,high,limited,1,S,high,52620,low,native_wild,aesthetics,0,0,1,0,0,0,1,1,shade_first_greenery,moderate,metal_trough,drip_timer,none,evapotranspiration_light,L1_light,60513.0,7144.0,4.878,5.674,0.62,0.1,0.994,0.8539,Mogra jasmine,Marigold,Dianthus,tri_layer_simple,3,0.5981,0.573,0.5358,0.8975,0.6371
SYN-000042-000074,terrace,tier_2,tropical_humid,NCR,488.43,68.6,4.88,medium,1,0.5267,medium,3.82,good,ok,easy,tiles,rcc,moderate,34.77,62,heavy_monsoon,good,low,plentiful,1,mixed,very_high,76906,minimal,zen_sparse,biodiversity,1,0,1,0,0,0,1,0,green_wall_lite,dense,plastic_basic,drip_timer,shade_net_50,evapotranspiration_light,L1_light,88441.9,8585.34,8.558,13.713,0.6293,0.1,0.9702,0.9042,Malabar spinach,Coriander,Holy basil (tulsi),tri_layer_simple,3,0.6846,0.519,0.9113,1.0,0.7777
SYN-000042-000075,rooftop,tier_1,tropical_humid,Kolkata,1520.84,71.0,10.59,medium,1,0.485,medium,3.25,fair,ok,difficult,mixed,rcc,high,30.74,55,dry,poor,medium,adequate,1,S,high,54769,low,colorful_annuals,biodiversity,0,1,0,1,1,1,0,0,planters_only,moderate,metal_trough,drip_timer,shade_net_50,combined_shade_et,L1_light,62984.35,3475.65,6.871,11.829,0.5775,0.6,1.0,0.8214,Curry leaf screen,Lemongrass screen,Bougainvillea,polyculture_lite,4,0.6366,0.4944,0.7651,1.0,0.718
SYN-000042-000076,rooftop,tier_4,composite_monsoon,Bangalore,2937.19,76.6,9.08,none,20,0.1529,low,3.41,fair,ok,moderate,tiles,rcc,moderate,33.76,53,dry,good,low,limited,0,NE,high,18875,minimal,minimal_modern,cooling,1,0,1,0,0,1,0,0,succulent_forward,sparse,plastic_basic,manual_watering,shade_net_75,evapotranspiration_light,L0_minimal,21706.25,2188.54,5.552,8.74,0.544,0.1,0.8169,0.8953,Portulaca,Sedum mix,Marigold,polyculture_lite,4,0.6004,0.3842,0.6064,0.505,0.5496
SYN-000042-000077,rooftop,tier_1,semi_arid,Mumbai_MMR,1420.54,61.0,9.39,medium,15,0.3799,medium,3.0,unknown,ok,easy,soil_patch,tiles,moderate,35.34,74,heavy_monsoon,moderate,medium,adequate,1,mixed,very_high,131736,high,minimal_modern,mixed,1,0,1,0,0,1,0,0,intensive_green_roof_lite,sparse,fabric_grow_bag,drip_smart,companion_tall_plants,evapotranspiration_light,L2_moderate,151496.4,14540.91,5.555,8.336,0.5523,0.1,1.0,0.8019,Miniature rose,Petunia,Zinnia,polyculture_lite,4,0.5551,0.4199,0.6133,1.0,0.6567
SYN-000042-000078,rooftop,tier_2,tropical_humid,Ahmedabad,989.8,86.0,6.21,low,17,0.7025,medium,2.93,fair,ok,difficult,mixed,tiles,high,34.69,52,heavy_monsoon,moderate,low,adequate,0,NE,low,97645,moderate,zen_sparse,biodiversity,1,0,1,1,0,0,0,0,intensive_green_roof_lite,dense,terracotta,manual_watering,pergola_lite,evapotranspiration_heavy,L3_intensive,112291.75,20569.09,10.296,15.325,0.5864,0.6,0.9784,0.8065,Holy basil (tulsi),Lemongrass screen,Sedum mix,polyculture_lite,4,0.4346,0.2151,1.0,0.67,0.5841
SYN-000042-000079,rooftop,tier_2,semi_arid,Ahmedabad,2276.35,78.8,9.05,low,1,0.5168,low,3.55,good,good,moderate,concrete,rcc,moderate,36.1,46,moderate,very_poor,medium,scarce,0,mixed,high,143296,high,native_wild,mixed,1,0,0,0,0,0,1,0,planters_only,moderate,concrete_custom,manual_watering,shade_net_50,combined_shade_et,L3_intensive,164790.4,24549.78,5.9,9.442,0.7563,0.1,0.8207,0.9112,Sedum mix,Portulaca,Zinnia,polyculture_lite,4,0.3532,0.3094,0.6511,0.45,0.4251
SYN-000042-000080,terrace,tier_2,tropical_humid,Hyderabad,350.52,83.2,10.07,low,8,0.2687,medium,3.21,fair,poor,moderate,tiles,rcc,low,37.34,81,heavy_monsoon,poor,medium,adequate,1,W,medium,57754,low,minimal_modern,biodiversity,1,1,0,0,0,0,0,1,herb_focused,dense,terracotta,drip_timer,umbrella_portable,reflective_mulch,L2_moderate,66417.1,9349.47,7.688,9.944,0.4053,0.35,0.9229,0.9031,Curry leaf screen,Bush beans,Okra,tri_layer_simple,3,0.5899,0.5244,0.8051,1.0,0.6763
SYN-000042-000081,terrace,tier_1,tropical_humid,Hyderabad,443.15,76.7,7.21,none,2,0.2466,high,3.39,poor,poor,easy,mixed,metal_sheet,extreme,35.38,52,moderate,good,high,scarce,1,mixed,very_high,9920,low,minimal_modern,aesthetics,1,0,0,0,1,0,0,0,succulent_forward,sparse,terracotta,rainfed_only,shade_net_50,combined_shade_et,L1_light,12000.0,1107.56,8.509,14.553,0.3875,0.1,0.9298,0.8875,Sedum mix,Portulaca,Portulaca,duo_complement,2,0.5326,0.3556,0.9689,0.505,0.6244
SYN-000042-000082,balcony,tier_1,semi_arid,Kolkata,202.26,63.2,4.48,low,11,0.4273,medium,4.11,unknown,ok,easy,mixed,tiles,low,36.83,79,dry,good,medium,plentiful,1,E,high,64586,low,zen_sparse,low_maintenance_green,0,0,0,0,0,0,0,0,shade_first_greenery,moderate,metal_trough,manual_watering,none,reflective_mulch,L1_light,74273.9,5374.84,5.302,8.153,0.2826,0.1,0.9947,0.9025,Tradescantia,Malabar spinach,Malabar spinach,duo_complement,2,0.5771,0.5866,0.5642,0.945,0.6239
SYN-000042-000083,balcony,tier_1,composite_monsoon,Kolkata,92.51,70.2,3.23,medium,15,0.5579,medium,2.84,good,poor,difficult,mixed,rcc,moderate,34.09,50,moderate,poor,medium,limited,0,W,high,93992,moderate,minimal_modern,aesthetics,0,1,0,1,0,0,0,1,planters_only,sparse,modular_rail_planters,manual_watering,none,evapotranspiration_light,L2_moderate,64007.82,6816.93,5.568,9.57,0.3057,0.35,0.8942,0.7863,Holy basil (tulsi),Money plant (dense),Pothos,duo_complement,2,0.4974,0.2658,0.6094,0.505,0.4973
SYN-000042-000084,terrace,tier_1,tropical_humid,Kolkata,482.23,75.9,8.74,low,4,0.6094,medium,3.46,unknown,ok,easy,wood_deck,metal_sheet,moderate,34.73,75,dry,good,medium,scarce,1,W,high,60946,moderate,colorful_annuals,low_maintenance_green,0,0,1,0,0,0,0,0,planters_only,sparse,vertical_stack,rainfed_only,shade_net_50,evapotranspiration_light,L2_moderate,70087.9,7091.18,5.348,6.427,0.3091,0.35,0.9422,0.8474,Dwarf lantana,Bougainvillea,Bougainvillea,duo_complement,2,0.492,0.247,0.5901,0.505,0.468
SYN-000042-000085,rooftop,tier_4,tropical_humid,Other,654.98,82.7,9.62,none,19,0.6048,medium,2.69,fair,good,moderate,concrete,rcc,low,34.73,38,heavy_monsoon,moderate,medium,plentiful,1,N,high,71823,minimal,native_wild,aesthetics,0,1,0,0,0,0,0,0,intensive_green_roof_lite,dense,plastic_basic,manual_watering,none,evapotranspiration_light,L1_light,82596.45,3882.07,5.669,8.048,0.5116,0.1,0.9697,0.8078,Zinnia,Scented geranium,Lemongrass,polyculture_lite,4,0.6383,0.6117,0.5922,0.945,0.6461
SYN-000042-000086,rooftop,tier_1,tropical_dry,NCR,2145.66,58.7,9.83,medium,7,0.6572,medium,3.95,unknown,ok,moderate,concrete,metal_sheet,high,36.04,78,dry,moderate,high,limited,1,N,medium,127076,low,minimal_modern,cooling,1,0,0,0,0,1,0,1,mixed_canopy_lite,very_dense,vertical_stack,drip_timer,companion_tall_plants,evapotranspiration_heavy,L2_moderate,146137.4,24833.97,8.971,11.911,0.4735,0.1,0.9557,0.9138,Marigold,Vetiver grass,Holy basil (tulsi),tri_layer_simple,3,0.4951,0.3228,0.9879,0.8975,0.6106
SYN-000042-000087,balcony,tier_1,tropical_humid,NCR,54.49,63.8,4.89,none,16,0.5628,medium,3.96,fair,good,difficult,tiles,rcc,high,30.77,61,moderate,moderate,low,plentiful,1,N,medium,212162,minimal,native_wild,biodiversity,1,0,1,0,1,0,0,1,intensive_green_roof_lite,moderate,fabric_grow_bag,drip_smart,umbrella_portable,combined_shade_et,L0_minimal,155198.72,18183.1,7.049,7.761,0.2175,0.1,0.9321,0.8878,Holy basil (tulsi),Holy basil (tulsi),Holy basil (tulsi),single_species,1,0.7616,0.6826,0.7829,1.0,0.7708
SYN-000042-000088,rooftop,tier_3,composite_monsoon,Kolkata,1296.8,70.1,12.78,low,5,0.4175,high,2.97,good,ok,easy,concrete,tiles,moderate,31.51,57,dry,poor,medium,limited,0,NW,high,38951,minimal,colorful_annuals,aesthetics,0,0,0,1,0,0,1,1,planters_only,sparse,terracotta,manual_watering,none,reflective_mulch,L0_minimal,44793.65,3275.83,5.376,6.377,0.62,0.6,0.9628,0.7522,Sedum mix,Curry leaf screen,Bougainvillea,tri_layer_simple,3,0.637,0.4398,0.5856,0.505,0.594
SYN-000042-000089,terrace,tier_1,tropical_humid,Bangalore,647.35,50.7,6.38,none,7,0.296,medium,4.13,good,poor,difficult,tiles,rcc,high,32.8,43,dry,moderate,high,scarce,1,S,low,72608,minimal,kitchen_garden,aesthetics,0,0,0,0,0,0,0,0,planters_only,moderate,plastic_basic,manual_watering,shade_net_50,combined_shade_et,L0_minimal,83499.2,6695.37,5.843,11.027,0.4575,0.1,0.8727,0.811,Holy basil (tulsi),Jade plant,Snake plant,tri_layer_simple,3,0.6884,0.3834,0.6623,0.505,0.5735
SYN-000042-000090,rooftop,tier_1,semi_arid,Mumbai_MMR,1309.87,75.9,7.79,none,3,0.3306,high,3.83,fair,good,moderate,tiles,rcc,moderate,36.61,62,moderate,poor,medium,adequate,1,NW,medium,101148,low,native_wild,mixed,0,0,1,0,0,0,0,0,intensive_green_roof_lite,sparse,modular_rail_planters,manual_watering,none,surface_shading,L1_light,116320.2,13378.73,6.129,9.526,0.439,0.1,0.9711,0.891,Zinnia,Ixora,Cherry tomato,tri_layer_simple,3,0.7299,0.7157,0.6761,0.8625,0.7536
SYN-000042-000091,balcony,tier_4,tropical_dry,Bangalore,63.25,68.6,3.87,low,8,0.3951,low,3.57,good,good,moderate,concrete,rcc,low,36.24,49,moderate,good,low,adequate,1,W,high,31743,moderate,mediterranean,aesthetics,1,0,1,0,0,0,0,0,mixed_canopy_lite,sparse,plastic_basic,drip_timer,none,evapotranspiration_light,L2_moderate,36504.45,5772.69,4.9,7.679,0.1595,0.1,0.9096,0.9119,Coleus,Coleus,Coleus,single_species,1,0.5742,0.5803,0.5216,1.0,0.6391
SYN-000042-000092,rooftop,tier_4,tropical_humid,Other,1012.92,82.4,7.64,medium,1,0.801,high,3.21,unknown,good,difficult,tiles,metal_sheet,high,33.91,81,dry,moderate,high,limited,1,NW,high,92884,high,colorful_annuals,privacy,1,0,1,1,0,0,0,0,mixed_canopy_lite,moderate,terracotta,drip_timer,shade_net_50,evapotranspiration_light,L3_intensive,106816.6,13342.32,6.735,12.298,0.5823,0.6,0.8724,0.9473,Lemongrass screen,Sedum mix,Vetiver grass,polyculture_lite,4,0.3642,0.2507,0.7553,0.8975,0.5294
